id	Case1	Case2	Case3	Control1	Control2	Control3	Treat1	Treat2	Treat3
ENSG00000002834.17	124.5	125.18	124.27	115.51	113.84	116.96	105.4	109.96	103.92
ENSG00000002919.14	6.77	7.33	7.12	9.13	8.08	9.2	12.21	10.16	12.95
ENSG00000002933.7	0	0	0.1	0	0	0	0.07	0	0
ENSG00000003056.7	94.42	92.57	98.09	101.14	95.83	108.27	57.03	65.16	58.91
ENSG00000003096.14	1.19	1.67	2.72	2.31	2.35	1.99	1.09	1.59	1.6
ENSG00000003137.8	2.27	2.09	1.99	2.05	2.44	1.88	1.59	1.85	1.75
ENSG00000003147.17	0	0	0.06	0	0.16	0	0.08	0.07	0
ENSG00000003249.13	0.31	0.59	0.71	0.96	0.87	0.95	1.16	1.75	1.24
ENSG00000003393.14	8.39	10.38	8.55	14.4	14.58	12.28	15.73	12.7	12.21
ENSG00000003400.14	2.64	2.14	2.58	2.57	2.03	1.89	2.33	2.37	2.13
ENSG00000003402.19	10.13	10.02	11.1	7.52	8.41	6.26	11.16	7.87	8.8
ENSG00000003436.15	23.45	21.88	21.87	37.64	35.28	31.33	37.19	36.76	43.35
ENSG00000003509.15	14.29	12.29	13.87	11.54	11.81	11.87	17.83	13.88	15.48
ENSG00000003756.16	55.86	61.95	53.94	54.9	51.3	53.32	76.32	58.82	61.15
ENSG00000003987.13	0.28	0.17	0.09	0.19	0.33	0.29	0.72	0.41	0.32
ENSG00000003989.17	1.39	1.5	1.43	1.1	1.25	1.08	3.63	2.77	3.08
ENSG00000004059.10	110.27	122.65	116.78	148.64	150.57	149.8	130.99	129.54	149.34
ENSG00000004139.13	0.2	0.31	0.3	0.49	0.43	0.25	1.09	1.77	1.15
ENSG00000004142.11	103.77	110.42	108.57	100.23	95.35	100.91	104.57	113.41	108.49
ENSG00000004399.12	27.93	29.61	25.22	35.94	31.93	32.37	24.51	23.77	23.72
ENSG00000004455.16	417.51	407.38	409.98	405.56	403.99	412.8	353.41	363.61	344.11
ENSG00000004468.12	0	0	0	0.01	0	0.04	0	0	0
ENSG00000004478.7	89.61	87.81	97.81	73.15	69.52	72.15	58.19	63.3	63.72
ENSG00000004487.16	93	89.56	99.64	105.07	106.4	102.1	88.65	85.31	92.3
ENSG00000004534.14	28.59	26.56	27.05	33.62	33	33.21	48.56	47.99	46.66
ENSG00000004660.14	10.22	10.95	11.1	5.98	6.12	6.77	9.04	10.18	9.65
ENSG00000004700.15	34.73	29.59	30.17	48.08	52.19	43.23	49.01	43.51	47.9
ENSG00000004766.15	18.99	19.17	18.83	22.76	24.28	20.1	28.79	32.05	25.52
ENSG00000004776.12	0.25	0.04	0.1	0	0.06	0.07	0.04	0	0
ENSG00000004777.18	2.44	1.26	2.89	0.99	0.9	1.26	1.84	1.57	1.14
ENSG00000004779.9	163.83	160.3	154.12	124.78	119.76	130	133.33	152.47	153.53
ENSG00000004799.7	0.78	0.55	0.69	0.55	0.42	0.39	0.76	0.57	0.7
ENSG00000004809.13	0	0	0.05	0.09	0	0.17	0	0	0
ENSG00000004838.13	0.02	0.11	0.15	0.1	0.07	0.11	0.4	0.47	0.23
ENSG00000004846.16	0.08	0.07	0.18	0.18	0.15	0.1	0.25	0.08	0.18
ENSG00000004848.7	0	0.07	0.03	0.18	0.03	0.02	0.03	0.11	0.05
ENSG00000004864.13	39.39	40.43	38.22	31.06	35.62	29.36	40.61	37.91	38.24
ENSG00000004866.20	17.54	14.84	17.79	14.35	15.55	14.54	18.26	15.87	18.06
ENSG00000004897.11	50.21	53.43	52.03	39.65	40.35	38.39	30.17	27.03	25.8
ENSG00000004939.14	0	0.01	0.01	0.03	0	0.21	0.04	0	0.21
ENSG00000004948.13	0.12	0.09	0.1	0.15	0.04	0.07	0.29	0.11	0.22
ENSG00000004961.14	39.68	37.67	41.83	38.54	41.54	41.99	26.14	23.23	22.72
ENSG00000004975.11	40.37	37.26	36.8	30.58	28.64	28.4	22.44	28.02	24.72
ENSG00000005001.9	1.52	1.26	1.5	1.13	1.59	1.91	0.96	1.48	0.59
ENSG00000005007.12	46.11	42.86	47.63	36.67	37	35.73	33.91	32.31	29.27
ENSG00000005020.12	14.14	13.13	14.31	15.25	14.46	15.94	20.49	13.85	17.33
ENSG00000005022.5	351.9	353.51	374.58	322.86	306.49	309.85	343.09	356.01	360.8
ENSG00000005059.15	13.07	13.67	13.64	15.9	9.93	10.72	11.06	11.05	14.42
ENSG00000005073.5	2.51	2.04	2.13	4	3.51	3.91	4.41	4.76	3.81
ENSG00000005075.15	88.07	91.31	84.04	87.36	81.09	95.43	73.28	90.04	80.65
ENSG00000005100.12	24.57	25.27	25.49	25.31	26.82	26.87	21.37	22.54	20.6
ENSG00000005102.12	0.66	0.77	0.46	0.37	0.45	0.72	1.13	1.37	1.26
ENSG00000005108.15	0.01	0.03	0.03	0	0.01	0	0.01	0	0.01
ENSG00000005156.11	22.27	18.04	20.3	16.34	14.4	14.32	12.05	12.1	11.76
ENSG00000005175.9	64.23	54.95	59.55	54.98	55.28	59.36	41.57	41.11	41.21
ENSG00000005187.11	0.77	0.74	0.47	0.16	0.39	0.61	0.7	0.71	1.11
ENSG00000005189.19	3.87	3.69	4.24	4.84	4.65	4.09	4.49	4.07	4.11
ENSG00000005194.14	40.81	41.43	44.58	51.18	49.68	55.15	46.59	49.44	48.76
ENSG00000005206.16	21.7	19.24	19.02	21.62	21.37	19.73	17.09	15.37	12.16
ENSG00000005238.19	10.98	11.09	11.32	16.62	14.3	14.68	9.67	13.18	12.02
ENSG00000005243.9	4.82	4.99	5.38	5.73	6.1	6.18	5.15	3.86	3.14
ENSG00000005249.12	0.7	0.63	0.72	0.66	0.54	0.72	0.5	0.55	0.57
ENSG00000005302.17	21.91	19.33	24.09	19.94	21.66	19.84	19.62	22.96	22.04
ENSG00000005339.14	22.44	23.82	21.69	19.27	19.77	20.2	19.06	18.89	18.7
ENSG00000005379.15	0	0	0	0	0	0.02	0	0.01	0
ENSG00000005381.7	0.17	0.27	0.29	0.23	0.16	2.17	0.36	0.17	0.2
ENSG00000005421.8	0	0	0	0	0.05	0.05	0	0.04	0
ENSG00000005436.13	18.81	18.11	19.22	16.97	15.64	13.52	18.41	16.16	16.11
ENSG00000005448.16	27.45	24.61	18.57	22.46	18.25	16.66	11.21	16.74	12.32
ENSG00000005469.11	13.67	12.25	15.53	13.16	14.92	15.28	16.41	15.24	14.55
